Row,r all freqs pre/post linenoise reduction,r 50 hz pre/post linenoise reduction,r 55 hz pre/post linenoise reduction,r 58 hz pre/post linenoise reduction,r 59 hz pre/post linenoise reduction,r 60 hz pre/post linenoise reduction,r 61 hz pre/post linenoise reduction,r 62 hz pre/post linenoise reduction,r 65 hz pre/post linenoise reduction,r 70 hz pre/post linenoise reduction,RMSE post/pre waveleting,MAE post/pre waveleting,SNR post/pre waveleting,PeakSNR post/pre waveleting,r alldata post/pre waveleting,r 2 hz post/pre waveleting,r 5 hz post/pre waveleting,r 8 hz post/pre waveleting,r 12 hz post/pre waveleting,r 20 hz post/pre waveleting,r 30 hz post/pre waveleting,r 45 hz post/pre waveleting,r 70 hz post/pre waveleting
"MOD1735_Y1_a.BDF_czRef_child.set",0.999999985395784,0.999995721160375,0.999979909069291,0.999779510358307,0.993652608482642,0.961472201669851,0.990122412169644,0.999695470578253,0.999953515908514,0.999991189234029,64.4737653905454,42.9390334932039,-7.08497595140169,5.90143387420499,0.351647082741327,0.847479862470127,0.891205621320408,0.877995854992815,0.704012561013861,0.597782310073188,0.58505927606279,0.0242331118475843,0.0468051102862285
"MOD1740_Y1_a.BDF_czRef_child.set",0.999999988773557,0.999987010336252,0.999931046046181,0.999297171470403,0.981731856094739,0.882152775660809,0.981777308822203,0.998796502654426,0.999784572526255,0.999961097145095,26.600311042466,18.9834958020398,-1.68735682780183,11.3940100202235,0.639629313878197,0.908737634974014,0.942964347185076,0.978918593167444,0.936652859546311,0.930875260734677,0.920236062297785,0.128627595042818,0.226223077077478
"MOD1771_Y1_a.BDF_czRef_child.set",0.999999849845797,0.999974852595315,0.999897478197012,0.999059326266043,0.981325868798124,0.872222501816413,0.980322253731924,0.997862130647991,0.999368017158921,0.999944873601802,51.7624624430475,30.7586229243677,-6.92998409497411,6.03729860074816,0.416203583177304,0.684997012696688,0.87137755606724,0.879188056539319,0.825996277795141,0.812725243296675,0.823336992383567,0.0569071457805838,0.0910145662826195
"MOD1774_Y1_a.BDF_czRef_child.set",0.999999948163645,0.999990890870377,0.999955894434295,0.999536326195904,0.983444915955993,0.902633943134958,0.979896682949502,0.999210370063349,0.999864773018856,0.999977623501115,51.4750362084595,31.2040743392155,-5.03656617531506,7.56688735876699,0.428677208715433,0.687840234512709,0.872731960798806,0.907504749839466,0.84766842053159,0.899370414282731,0.907061053108698,0.100162597225829,0.143604162250805
"MOD1775_Y1_a.BDF_czRef_child.set",0.999998467301675,0.999991660739277,0.99994265160498,0.999304327493187,0.984264588240727,0.91609252777777,0.984611640886823,0.999359913635754,0.999910954200535,0.999973307530991,58.2627273694882,34.1969589842306,-7.23486694299495,5.99645702844617,0.34449308883438,0.745997842455561,0.879701917355023,0.903438494593316,0.847541069559635,0.848258418468711,0.887827584550225,0.0474899778724191,0.0692865314263968
"MOD1783_Y1_a.BDF_czRef_child.set",0.999999950613129,0.999986074264292,0.999943560387731,0.999491904154504,0.985367281992946,0.909444933273967,0.984104723814411,0.999260523528214,0.999883874622179,0.999974707794777,76.0339758266591,39.4445360669048,-6.89376565298479,5.983392215904,0.370032537188125,0.575470052576521,0.610832571009624,0.767290663913841,0.671635677736189,0.810573527067522,0.849429080557645,0.0694995879227924,0.12687065069054
"MOD1785_Y1_a.BDF_czRef_child.set",0.999999908446305,0.99998217016361,0.999922425101465,0.999304645577321,0.973056589979216,0.897849125339558,0.971039130067762,0.998828685702189,0.999785713000634,0.999949220702825,145.621254615296,48.1830480812934,-12.7545945622962,0.245437751308399,0.239187477241627,0.862657000388322,0.801058191964734,0.904845845467322,0.830151876463251,0.902681828500023,0.947282796220628,0.05133891316651,0.0439749580144171
"MOD1790_Y1_a.BDF_czRef_child.set",0.999999982361947,0.999983072169064,0.999931336149669,0.999369870051741,0.99233654622815,0.703712695204234,0.985898132607399,0.998086722620074,0.999538760030994,0.9999554602857,2026.02004396274,141.124376798701,-33.6366962043721,-20.9953343091778,0.0123142293412491,0.595346947249609,0.503639437628929,0.495676720145923,0.40215291827357,0.689098807538461,0.614208777888138,0.0146509391192343,0.0158815528848661
"MOD1795_Y1_a.BDF_czRef_child.set",0.999999923697629,0.9999840174884,0.999916325042886,0.999211634580671,0.978738720923221,0.841269031120497,0.971077261941624,0.998799191297381,0.99980605294452,0.999959145352962,23.5694523170954,16.3125987078582,2.12359951591595,14.293981824128,0.736786103933343,0.942574393974906,0.924722754663655,0.893116691982333,0.926423307832291,0.913015487357611,0.886484479009592,0.142554358300156,0.364451375736846
"MOD1800_Y1_a.BDF_czRef_child.set",0.999999983384126,0.999995100619918,0.999976848425624,0.999772974785843,0.988641340853701,0.938362098352336,0.990463932707235,0.999585301474313,0.999932619301622,0.999989053167524,90.0248843488648,42.0256459681083,-7.90712151313055,4.79792407008247,0.259184281965683,0.896007713693676,0.928034329110093,0.959893446838196,0.881629252664961,0.883005062891988,0.911392811381059,0.0473301626442729,0.147789709092551
"MOD1805_Y1_a.BDF_czRef_child.set",0.999999989383291,0.99998793156751,0.999943318215645,0.999460208296781,0.990449658179057,0.850286096642175,0.98970010539905,0.998871490319865,0.999740819178639,0.999958948649666,30.1769718678465,21.6885908787166,0.267789327378383,12.7693287460333,0.715167316088117,0.956261761744983,0.89870923392262,0.845855856577683,0.87811634237218,0.834572312502413,0.799212656798776,0.139206000768016,0.24591753354356
"MOD1810_Y1_a.BDF_czRef_child.set",0.999999995430945,0.999996649954123,0.999983160381228,0.999812527791652,0.993006998259995,0.954717761127448,0.990120604399036,0.999592986056602,0.99993625701454,0.999991106869669,39.7025449991323,28.3166128936363,-3.13770410349088,9.68163386948515,0.555598864797323,0.932108815672457,0.918262854195914,0.930169838556468,0.904957386368442,0.925458933985998,0.937190098791765,0.124733882459195,0.215249848114188
"MOD1812_Y1_a.BDF_czRef_child.set",0.999071718401255,0.999912557441197,0.999695452934205,0.997588042817212,0.985926985578876,0.813772610066244,0.981955800988131,0.996252535450635,0.998974416221303,0.999794634635709,56.5194274327655,24.6890645596077,-9.35652514092704,3.73868776557821,0.337908480753599,0.734987906479198,0.899259235542243,0.907922542515657,0.893989095401693,0.905543107745999,0.912488595162792,0.0878141598701238,0.0532329707679088
"MOD1814_Y1_a.BDF_czRef_child.set",0.999999994546791,0.999997482654724,0.999989544078584,0.999897170533332,0.997932037125033,0.949570085500562,0.996544616084538,0.99964550421754,0.999909279636762,0.999993984422583,136.750846579183,89.7105276339959,-12.4985243664775,0.188626424114108,0.234627514558808,0.88094156571512,0.920666769474147,0.939268308730383,0.917247001046114,0.92727814736832,0.934717441494749,0.0278885416463758,0.0473174107969101
"MOD1816_Y1_a.BDF_czRef_child.set",0.99999999868494,0.999999338382703,0.999997264748657,0.999975471240101,0.999179891163496,0.995169251226093,0.998449207868432,0.999938607339822,0.999987746307426,0.999998756153823,201.972345060221,87.0501652378084,-18.3214063687229,-5.56885295918643,0.123071360602576,0.254141135466052,0.370884770174877,0.647591876450705,0.430239145144421,0.506169185750924,0.514505559851513,0.01912805824081,0.0135979157956407
"MOD1824_Y1_a.BDF_czRef_child.set",0.999997579867408,0.999837433132293,0.999415884226174,0.995994029858935,0.968850508608653,0.158459931444091,0.961592975731468,0.993870118414596,0.998667240877927,0.999735232182422,30.1318923274988,20.2824403511327,-1.21064081721551,12.5737823543072,0.661869284679318,0.900479186068462,0.870653501881635,0.803826157468106,0.527347609069425,0.394522679713103,0.442623588859673,0.0206870763274826,0.0475077713851736
"MOD1846_Y1_a.BDF_czRef_child.set",0.999999347800981,0.999944542578263,0.999815850492022,0.998488629954702,0.986952388948932,0.237475049684518,0.976788454794814,0.995036169237514,0.998312401198646,0.999859775293458,57.3492443756442,39.0689532669397,-7.01700608767478,5.87174661177068,0.40803803584154,0.919409319780755,0.934394371244645,0.87389675904059,0.724760461631787,0.824964252707694,0.871987897192069,0.0283018884717899,0.0638596266290894
"MOD1852_Y1_a.BDF_czRef_child.set",0.99999999573983,0.999997138159296,0.999985684491984,0.999860522662236,0.99571031110903,0.955170073636053,0.993604652112656,0.999664676288921,0.999932998973887,0.999992228187419,55.052878449294,38.0199100723015,-4.00561228025867,9.2841255275609,0.46044739669935,0.870540080710853,0.868375532769002,0.659574302606806,0.837183379319957,0.873182670649889,0.890958319290015,0.105572187748939,0.236014120613791
"MOD2005_Y1_a.BDF_czRef_child.set",0.999998602498649,0.999973315859072,0.999915672528493,0.999227277126982,0.992920116317038,0.959624520890396,0.988493550916118,0.998382659215978,0.999657732701041,0.999950165265828,275.791889417132,171.883393484554,-18.8778876411452,-6.17997029548693,0.10413924439899,0.681249179020408,0.766028814343859,0.696257792604929,0.644922466589454,0.725116517485718,0.757688702003444,0.0207113480843104,0.0169962816436726
"MOD2013_Y1_a.BDF_czRef_child.set",0.99999999928374,0.999999582008251,0.999998096107822,0.99997036237782,0.998399485737562,0.994088734072001,0.997192257758427,0.999925838306771,0.999984015330608,0.999999026684774,103.984682834697,73.3530215195947,-9.2542011665993,3.62022108664784,0.34166895706031,0.949951990726978,0.963528485324467,0.992045765637579,0.940984427943386,0.961953758670793,0.967482901131032,0.0770669637554676,0.0671441273581021
"MOD2023_Y1_a.BDF_czRef_child.set",0.999999993397595,0.999997454671629,0.999987996259032,0.999881075768991,0.993261201321441,0.988328724617479,0.988149669321268,0.999773562906924,0.999971097077715,0.999994908859162,282.563737186939,115.007757731222,-17.7590163641455,-4.89691100683806,0.0993791152181276,0.50795696774296,0.67548814031163,0.704673380444222,0.608422406229777,0.666840390847265,0.67064018472672,0.0241855010553358,0.0366139235248866
